id;name;load_nuber;shipment_number;bol;status
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;ONROAD
2;red Chips Soap;Home Loan Account;web-readiness;Namibia;DELIVERED
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;ONROAD
4;infomediaries;Investment Account;Games Regional Digitized;copy convergence;ONROAD
5;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;DELIVERED
6;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;ONROAD
7;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;PICKEDUP
8;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;ONROAD
9;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;DELIVERED
10;maroon;EXE projection Fresh;support Gorgeous;withdrawal;DELIVERED
