id;description;pickup;jhi_drop;source;destination;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by
1;Cotton;2019-09-30T19:35:05;2019-10-01T01:19:10;grow;Handmade Wooden Cheese Fresh;input Naira;DELIVERED;37487;2019-09-30T19:56:34;../fake-data/blob/hipster.png;image/png;false;EXE
2;web services;2019-09-30T12:09:26;2019-10-01T07:06:58;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;PICKEDUP;99583;2019-09-30T16:20:47;../fake-data/blob/hipster.png;image/png;true;iterate protocol
3;web-enabled Brand Regional;2019-09-30T20:28:19;2019-10-01T04:50:44;B2B Mouse;Junctions one-to-one;analyzing holistic;PICKEDUP;69816;2019-10-01T06:37:56;../fake-data/blob/hipster.png;image/png;true;groupware
4;Credit Card Account clear-thinking Frozen;2019-10-01T05:34:44;2019-09-30T11:40:01;Group hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;PICKEDUP;74957;2019-09-30T22:15:59;../fake-data/blob/hipster.png;image/png;false;transmitting Tennessee Practical Steel Shirt
5;24/7;2019-10-01T06:03:17;2019-10-01T05:35:57;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;DELIVERED;60617;2019-10-01T02:26:03;../fake-data/blob/hipster.png;image/png;false;El Salvador Colon US Dollar Checking Account global
6;Baby;2019-09-30T19:27:07;2019-09-30T18:55:14;transmit Gabon;connecting Planner Refined;engage Granite Grocery;DELIVERED;90315;2019-10-01T04:08:05;../fake-data/blob/hipster.png;image/png;true;Director
7;New York mesh;2019-09-30T20:54:30;2019-10-01T05:13:25;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;ONROAD;49261;2019-09-30T23:04:12;../fake-data/blob/hipster.png;image/png;false;payment
8;robust;2019-09-30T18:30:49;2019-10-01T04:18:53;Rubber Shirt;Pakistan Rupee;Chicken;ONROAD;51523;2019-09-30T15:23:11;../fake-data/blob/hipster.png;image/png;true;Savings Account
9;Licensed Wooden Pants;2019-10-01T00:43:18;2019-09-30T23:03:54;Movies;Granite Island;Regional;DELIVERED;69039;2019-09-30T23:41:23;../fake-data/blob/hipster.png;image/png;false;online
10;Bulgarian Lev Cambridgeshire;2019-10-01T03:38:25;2019-09-30T09:18:25;Small Plastic Pizza primary;Savings Account Manager Guyana;Bedfordshire Auto Loan Account back-end;DELIVERED;13311;2019-09-30T14:17:15;../fake-data/blob/hipster.png;image/png;true;connecting generate Music
