id;number;type;size;insurance
1;Inlet Hungary Configurable;CONTAINER;FIFTYTHREE;overriding
2;internet solution;TRAILER;FIFTYTHREE;withdrawal Club Nebraska
3;Nevada quantify architectures;TRAILER;FORTYTHREE;Grass-roots Cambridgeshire
4;Personal Loan Account;TRAILER;FORTYTHREE;Avon
5;blue scalable Car;CHASIS;FIFTYTHREE;Jewelery Engineer Bedfordshire
6;Tanzanian Shilling Assurance Nebraska;TRAILER;FIFTYTHREE;system
7;Buckinghamshire;CHASIS;FORTYTHREE;Applications
8;Montenegro;CONTAINER;FIFTYTHREE;Trinidad and Tobago Dollar
9;Customer-focused;TRAILER;FORTYTHREE;transmitting parse infrastructures
10;matrix Implementation Shirt;CHASIS;FORTYTHREE;override back-end hacking
