id;provider_number;provider;description;start_date;expiry_date
1;backing up;Iran;Philippine Peso Metal;2019-10-01;2019-09-30
2;Buckinghamshire alliance redundant;content;Gorgeous Electronics Brand;2019-09-30;2019-09-30
3;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;2019-09-30;2019-09-30
4;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;Garden;2019-10-01;2019-10-01
5;Small;JBOD;Shoes Music connect;2019-09-30;2019-09-30
6;Shoes systems;Generic Frozen Tuna HTTP;implement;2019-09-30;2019-09-30
7;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;2019-09-30;2019-09-30
8;deposit Station;parsing Investment Account;Branding Dynamic black;2019-10-01;2019-10-01
9;utilize;Generic;robust withdrawal generate;2019-09-30;2019-10-01
10;open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;2019-09-30;2019-09-30
