id;booking_no;invoice_total;invoice_due_date;status
1;ability Hat Iraq;48482;2019-10-01T02:04:37;PICKEDUP
2;sky blue;55810;2019-09-30T14:32:07;ONROAD
3;Exclusive Moroccan Dirham card;14808;2019-10-01T00:34:17;DELIVERED
4;Home;34507;2019-09-30T09:36:34;DELIVERED
5;Way Dominican Republic;59269;2019-09-30T15:16:36;ONROAD
6;Re-contextualized;80313;2019-09-30T22:34:51;DELIVERED
7;bypassing optical;15071;2019-09-30T23:42:32;PICKEDUP
8;red firewall open-source;34866;2019-09-30T15:55:25;DELIVERED
9;disintermediate Cambridgeshire hacking;67569;2019-09-30T23:13:20;DELIVERED
10;Profound;17495;2019-09-30T11:47:40;DELIVERED
