id;name;status;shipment_number;bol
1;Agent;DELIVERED;even-keeled Saint Helena Pound;Internal AI optical
2;bypassing Marketing;DELIVERED;Branding;Home Gloves Latvia
3;Ports Manager Fish;DELIVERED;Fish;payment calculating
4;local area network Benin;PICKEDUP;Wisconsin;target Human withdrawal
5;dot-com payment Libyan Dinar;ONROAD;calculate;Chips
6;Villages uniform PCI;PICKEDUP;Wisconsin Facilitator Incredible;reinvent
7;eco-centric Bedfordshire mesh;PICKEDUP;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
8;portal calculating Metal;PICKEDUP;Synergistic Personal Loan Account Sleek;Borders
9;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;DELIVERED;interfaces;Garden Dale Wallis and Futuna
10;generating;ONROAD;interface;compress lavender Investment Account
