id;start_date;end_date;language
1;2019-09-30T12:03:52;2019-09-30T11:49:49;SPANISH
2;2019-10-01T04:42:45;2019-09-30T08:34:28;ENGLISH
3;2019-09-30T11:44:51;2019-09-30T19:02:38;FRENCH
4;2019-10-01T03:12:48;2019-09-30T21:32:36;FRENCH
5;2019-09-30T22:55:33;2019-09-30T18:02:56;ENGLISH
6;2019-10-01T00:09:31;2019-10-01T00:48:45;ENGLISH
7;2019-10-01T05:06:54;2019-09-30T13:00:30;FRENCH
8;2019-10-01T03:44:11;2019-10-01T03:22:32;FRENCH
9;2019-09-30T10:42:04;2019-09-30T20:03:31;FRENCH
10;2019-10-01T03:07:31;2019-10-01T06:50:26;ENGLISH
